Column1;title;date;url;author;topic;summary;text
0;Vaucluse. Le port du masque obligatoire maintenu jusqu’au 14 décembre;16/11/2021;https://actu.fr/societe/coronavirus/vaucluse-le-port-du-masque-obligatoire-maintenu-jusqu-au-14-decembre_46471784.html;Sarah Zafrani;societe;Dans le Vaucluse, le taux d'incidence étant supérieur au seuil d'alerte, le préfet Bertrand Gaume a décidé de maintenir le masque jusqu’au 14 décembre inclus.;Actu Provence-Alpes-Côte d'Azur Vaucluse Vaucluse. Le port du masque obligatoire maintenu jusqu’au 14 décembre Dans le Vaucluse, le taux d'incidence étant supérieur au seuil d'alerte, le préfet Bertrand Gaume a décidé de maintenir le masque jusqu’au 14 décembre inclus. Dans le département du Vaucluse, le masque sera obligatoire au moins jusqu’au 14 décembre.    Actu Vaucluse Mon actu Suivre Les habitants du département du Vaucluse devront patienter encore un peu. Le taux d’incidence en Vaucluse s’établit à 71 cas pour 100 000 habitants sur la semaine du 1er novembre 2021 et est supérieur au seuil d’alerte fixé à 50/100 000 habitants. « Le taux de positivité en Vaucluse, s’élevant désormais à 2,6 %, est en nette hausse. Enfin, 75 personnes sont encore hospitalisées pour Covid-19 en Vaucluse, dont 6 patients hospitalisés en service de réanimation, induisant une tension sur le système de soins à un tel niveau que le plan blanc déclenché le 4 août 2021, est maintenu », rapporte La Provence. À lire aussi Vaucluse. Covid-19 : le taux d’incidence chute dans le département, la vigilance demeure La préfecture prend des mesures pour limiter la propagation du virus Compte tenu de la dégradation continue du contexte sanitaire dans le département de Vaucluse, le préfet Bertrand Gaume a décidé de maintenir jusqu’au 14 décembre inclus les mesures visant à limiter la propagation du virus Covid-19. « Ainsi le port du masque reste obligatoire pour les personnes de 11 ans et plus en extérieur, dans les situations à forte densité de personnes, lorsque la distance inter-individuelle ne peut être respectée et lorsque les temps de contact prolongé sont probables », annonce la préfecture. C’est notamment le cas, en raison de la promiscuité et du brassage de population qu’ils génèrent, pour : • Les rassemblements publics, les zones et files d’attente, particulièrement dans les rues piétonnes, les manifestations de voie publique, les spectacles de rue, les festivals, les concerts en plein-air et les évènements sportifs de plein-air , • Les marchés de plein air alimentaires et non alimentaires, les foires et brocantes, les ventes au déballage sur la voie publique, les commerces, les centres commerciaux, leurs abords et leurs parkings etc. 
1;La préfecture des Deux-Sèvres prolonge l'arrêté sur le port du masque;16/11/2021;https://actu.fr/nouvelle-aquitaine/niort_79191/la-prefecture-des-deux-sevres-prolonge-l-arrete-sur-le-port-du-masque_46470840.html;Antoine Colin;societe;Le Préfet des Deux-Sèvres, Emmanuel Aubry, a prorogé jusqu’au lundi 13 décembre 2021 inclus, l’arrêté portant obligation du port du masque pour toute personne de onze ans et plus.;"Actu Nouvelle-Aquitaine Deux-Sèvres Niort La préfecture des Deux-Sèvres prolonge l'arrêté sur le port du masque Le Préfet des Deux-Sèvres, Emmanuel Aubry, a prorogé jusqu’au lundi 13 décembre 2021 inclus, l’arrêté portant obligation du port du masque pour toute personne de onze ans et plus. Le port du masque est toujours obligatoire dans les lieux fréquentés.    Actu Deux-Sèvres Mon actu Suivre Si l’ARS Nouvelle-Aquitaine a précisé que « le taux d’incidence est en hausse dans dix départements excepté dans les Pyrénées-Atlantiques et les Deux Sèvres » dans sa dernière note de synthèse adressée à la presse, ce lundi 15 novembre, le préfet du département a souhaité prolonger l’obligation du port du masque sur l’ensemble du territoire jusqu’au 13 décembre. À lire aussi Deux-Sèvres : la vaccination à domicile est ouverte pour les plus de 80 ans Vers une cinquième vague Avec 67 cas pour 100 000 habitants, le taux d’incidence en Deux-Sèvres se trouve toujours au-dessus du seuil d’alerte. Malgré une légère baisse, la préfecture souhaite tout de même rester vigilante et prendre ses précautions.  Actuellement, la majorité du territoire national est en alerte. Une cinquième vague de Covid-19 touche l’Europe et arrive en France.  #Vaccination | Les personnes à risques de développer un forme grave de #COVID19 sont éligibles à la dose de rappel. Qui est concerné ? Retrouvez la liste ici ? pic.twitter.com/aJvOyf4rBG — Préfet des Deux-Sèvres (@Prefet79) November 10, 2021 Olivier Véran, ministre de la Santé, a parlé d' »une phase dite exponentielle » et la vaccination semble de plus en plus incontournable pour stopper la propagation du virus. En réaction, Emmanuel Aubry a donc pris le problème au bras-le-corps. Il a prorogé jusqu’au lundi 13 décembre 2021 inclus, l’arrêté portant obligation du port du masque pour toute personne de onze ans et plus sur l’ensemble du territoire du département.  Quels sont les lieux concernés ? Dans les Deux-Sèvres, le port du masque sera obligatoire dans les marchés, brocantes et ventes au déballage. Les transports en commun, les abords des quais, gares et abris bus, ainsi que dans les pôles d’échanges sont aussi concernés par cet arrêté.  Même obligation sur les parvis des établissements scolaires du département des Deux-Sèvres et à moins de 50 mètres de ces derniers aux heures d’entrée et de sortie de classe ; dans les zones susceptibles d’être lieu de rassemblement du public, non soumises au pass sanitaire, pour les évènements sportifs soumis ou non à déclaration ou autorisation. Seule nouveauté : le port du masque sera également obligatoire dans les marchés de Noël, où le Pass sanitaire devra être également présenté. L’obligation de port du masque prévue au présent arrêté ne s’applique pas aux personnes en situation de handicap munies d’un certificat médical justifiant de cette dérogation et qui mettent en œuvre les mesures sanitaires de nature à prévenir la propagation du virus. "
2;Morbihan : prolongation du port du masque, les marchés de Noël impactés;16/11/2021;https://actu.fr/bretagne/vannes_56260/morbihan-prolongation-du-port-du-masque-les-marches-de-noel-impactes_46471207.html;Rédaction Morbihan;societe;Le préfet du Morbihan a prolongé l'arrêté préfectoral sur le port du masque dans le Morbihan. Où doit-on le porter en cette fin d'année 2021 ? On fait le point.;"Actu Bretagne Morbihan Vannes Morbihan : prolongation du port du masque, les marchés de Noël impactés Le préfet du Morbihan a prolongé l'arrêté préfectoral sur le port du masque dans le Morbihan. Où doit-on le porter en cette fin d'année 2021 ? On fait le point. Le port du masque sera obligatoire pour les marchés de Noël dans le Morbihan. Ici, le marché de Noël de Pontivy (Morbihan). ©Photos d'archives – Pontivy Journal   Actu Morbihan Mon actu Suivre La préfecture du Morbihan a pris un nouvel arrêté préfectoral concernant le port du masque dans le département breton. Où doit-on porter le masque en cette fin d’année 2021 ? À lire aussi Morbihan : une traversée maritime gratuite pour aller nettoyer la plage sur l’île d’Houat Prolongation des mesures actuelles L’arrêté préfectoral du lundi 15 novembre 2021 prolonge l’obligation du port du masque dans le Morbihan dans certains lieux. Les lieux concernés par le port du masque (toute personne de 11 ans et plus) sont les suivants : Sur les marchés de plein air, les marchés de Noël, les brocantes, les braderies, les trocs, puces et les vide-greniers ainsi que les ventes au déballage et ce pendant toute la durée de l’événement ; Aux abords, dans un rayon de 50 mètres, des gares routières, ferroviaires et maritimes aux heures d’arrivée et de départ des transports en commun ; Aux abords, dans un rayon de 50 mètres, des écoles, collèges et lycées ; Dans toute file d’attente constituée sur l’espace public ; Pour toute personne participant à un rassemblement revendicatif, culturel, sportif ou festif organisé sur la voie publique, qui n’est pas soumis à l’obligation du passe sanitaire, et pour lequel le respect d’une distanciation de deux mètres entre les participants est impossible en raison notamment du nombre de participants. La nouveauté est donc les marchés de Noël dans cet arrêté. Une mesure logique puisque le masque est obligatoire sur les marchés depuis des mois. Les manifestations « revendicatives » doivent se faire aussi avec des masques. Les forces de l’ordre ont fait preuve de tolérance ces dernières semaines, notamment lors des manifestations anti-pass sanitaire. L’arrêté sera en vigueur jusqu’au 8 janvier 2022. L’arrêté préfectoral via ce lien. "
3;CARTES. Covid-19 : le taux d'incidence en forte hausse, voici la situation par département;16/11/2021;https://actu.fr/societe/coronavirus/cartes-covid-19-le-taux-d-incidence-en-forte-hausse-voici-la-situation-par-departement_46467863.html;Timothée L'Angevin;societe;Presque aucun territoire n'est épargné par le rebond épidémique, qui semble encore sous contrôle. On fait le point avec les principaux indicateurs.;Actu Coronavirus CARTES. Covid-19 : le taux d'incidence en forte hausse, voici la situation par département Presque aucun territoire n'est épargné par le rebond épidémique, qui semble encore sous contrôle. On fait le point avec les principaux indicateurs. Les hôpitaux ne sont pas (encore) dépassés par le rebond épidémique    Actu Mon actu Suivre 100,19 contaminations pour 100 000 habitants. Cela faisait deux mois que le taux d’incidence était resté en dessous de ce seuil symbolique. Ce mardi 16 novembre 2021, d’après les données de Santé Publique France datées du 12, la France vient de le franchir. La grande majorité des départements connaissent un rebond épidémique et la situation ne semble pas aller en s’arrangeant. On fait le point sur les principaux indicateurs. À lire aussi Covid-19 : la reprise épidémique se confirme en France, annonce Santé publique France Le taux d’incidence en forte hausse partout Le taux d’incidence a dépassé les 50 cas pour 100 000 habitants dans la quasi-totalité du territoire à l’exception de l’Aube, la Mayenne et les Vosges. Il se trouve au-dessus de 100/100 000 habitants dans 35 départements métropolitains. En Haute-Corse, il se situe même au-delà de 200/100 000 habitants. La situation n’est toutefois pas aussi dramatique qu’elle a pu l’être par le passé, comme lors de la 4e vague à l’été 2021, où le taux d’incidence a atteint près de 250 cas pour 100 000 habitants. Et nous sommes loin du record de novembre 2020 où le taux avait dépassé les 500 pour 100 000 habitants. À lire aussi Discothèques, salles de concert… la jauge à 75% levée partout en France La situation encore sous contrôle dans les hôpitaux  Autre indicateur scruté par les autorités, la tension hospitalière. Celle-ci permet de connaître le nombre de lits occupés par des patients atteints du Covid-19 dans les établissements de santé. Il est aujourd’hui de 24,85%, soit 10 points de plus qu’il y a une semaine.  C’est-à-dire que sur 10 lits des unités de soins intensifs, près de trois d’entre eux sont occupés par des malades atteints du coronavirus. Là encore, la situation n’est pas aussi dramatique qu’elle a pu l’être. Au tout début de la crise, en avril 2020, cette proportion a atteint plus de 138%. Un an après, lors de la 3e vague, ce taux a grimpé à plus de 118%. Malgré la fermeture de plus de 5 000 lits dans le pays en 2020, et le manque toujours criant de soignants dans nos structures hospitalières, le Covid-19 ne provoque pas trop de dégâts. Pour le moment.  Comme on peut le constater, la situation tend à s’aggraver dans certaines régions, comme en Provence-Alpes-Côte-d’Azur, Pays de la Loire et en Corse. À lire aussi Pass sanitaire : les établissements où il est obligatoire vont être davantage contrôlés 75 morts en une journée Pour ce qui est du nombre de morts, là encore, la situation semble rester sous contrôle. Le lundi 15 novembre, la France a enregistré 75 décès supplémentaires, portant à 118 200 le nombre total de morts depuis le début de la pandémie. Des chiffres proches des creux que nous avons connus au cours des creux des étés 2020 et 2021.  Au plus fort de la crise, la France déplorait en moyenne jusqu’au 530 décès par jour.  À lire aussi Pass sanitaire : pour prolonger sa validité, 3e dose obligatoire pour les plus de 65 ans Augmentation des contaminations Les contaminations ont tendance, quant à elles, à augmenter de manière significative. Le nombre moyen de nouveaux cas confirmés quotidiens atteint 9 440, soit plus de 37% de hausse en l’espace de 7 jours.  Certains territoires connaissent de fortes augmentations, comme le Nord, les Bouches-du-Rhône ou encore le Rhône.  Malgré ce rebond épidémique, l’exécutif n’entend pas reconfiner le pays aujourd’hui, « ni de près, ni de loin », a confirmé le porte-parole du gouvernement Gabriel Attal ce mardi 16 novembre 2021 matin sur France Inter. #Coronavirus (Covid) #Hôpital #Vaccin 
4;Covid 19 dans le Finistère : le préfet prolonge et renforce les mesures sanitaires;16/11/2021;https://actu.fr/bretagne/brest_29019/covid-19-dans-le-finistere-le-prefet-prolonge-et-renforce-les-mesures-sanitaires_46469047.html;Rédaction Côté Brest;societe;En raison de la hausse du taux d'incidence, le préfet du Finistère a décidé de maintenir et de renforcer les mesures sanitaires dans le département.;"Actu Bretagne Finistère Brest Covid 19 dans le Finistère : le préfet prolonge et renforce les mesures sanitaires En raison de la hausse du taux d'incidence, le préfet du Finistère a décidé de maintenir et de renforcer les mesures sanitaires dans le département. À l’approche des fêtes de fin d’année, le préfet renforce les mesures sanitaires pour lutter contre la propagation du Covid-19.    Côté Brest Mon actu Suivre Le département du Finistère connaît actuellement une augmentation importante du taux d’incidence depuis quelques semaines, ce taux étant passé de 30,7 pour 100 000 habitants au 27 octobre à 71,9 au 15 novembre. Cette dégradation résulte d’une augmentation du nombre de cas positifs, avec un taux de positivité des tests à 3,5 %. « Le contexte climatique et l’approche des fêtes de fin d’année, propices à la reprise d’évènements festifs, de rassemblements et de mouvements de population, sont également favorables à la diffusion de l’épidémie », indique la préfecture dans un communiqué.  En conséquence, le préfet du Finistère, Philippe Mahé, maintient les obligations actuelles du port du masque jusqu’au 3 janvier 2022 inclus. Cette obligation s’applique à toute personne de onze ans ou plus circulant à pied dans les espaces publics suivants : marchés de plein air, brocantes, braderies, trocs et puces, vide-greniers et ventes au déballage ; files d’attentes, notamment celles constituées pour l’accès à un établissement recevant du public ; dans un rayon de cinquante mètres autour des gares ferroviaires, routières et maritimes, aux heures d’arrivée et de départ des véhicules de transport. Le port du masque reste également obligatoire pour toute personne de onze ans ou plus participant à un rassemblement revendicatif, sportif, récréatif ou culturel organisé sur la voie publique et pour lequel le respect d’une distanciation de deux mètres entre les participants est impossible, en raison notamment du nombre de participants. Obligations du port du masque renforcées  Les obligations de port du masque sont par ailleurs renforcées, et s’appliquent dans les trois cas suivants jusqu’au 3 janvier 2022 : aux abords des écoles, collèges et lycées en raison de la survenue de nouveaux cas dans ces établissements ; au sein des marchés de Noël ; à certains lieux soumis au pass sanitaire, en raison de la densité de population qui s’y concentre dans un espace confiné : enceintes sportives closes ou couvertes, salles de concert ou de spectacle. L’évolution des indicateurs de la pandémie restera particulièrement suivie et de nouvelles mesures pourront être prises en cas de dégradation brutale. "
5;Covid-19. Bas-Rhin : le port du masque en extérieur est prolongé, voici où;16/11/2021;https://actu.fr/societe/coronavirus/covid-19-bas-rhin-le-port-du-masque-en-exterieur-est-prolonge-voici-ou_46467505.html;Ivan CAPECCHI;societe;Après le retour du masque dans les écoles et les cinémas, bars ou restaurants, la préfète du Bas-Rhin a décidé de prolonger le port du masque en extérieur dans certaines zones.;Actu Grand-Est Bas-Rhin Covid-19. Bas-Rhin : le port du masque en extérieur est prolongé, voici où Après le retour du masque dans les écoles et les cinémas, bars ou restaurants, la préfète du Bas-Rhin a décidé de prolonger le port du masque en extérieur dans certaines zones. Le port du masque en extérieur demeure obligatoire en centre-ville, mais uniquement en cas d’affluence.    Actu Strasbourg Mon actu Suivre Face à la dégradation de la situation sanitaire dans le Bas-Rhin, la préfète du département, Josiane Chevalier, a décidé de prolonger, jusqu’au 3 janvier 2022 inclus, l’obligation du port du masque en extérieur sur certaines parties du territoire. Voici les lieux où le port du masque en extérieur demeure donc obligatoire dans le Bas-Rhin :  Marchés, brocantes, ventes au déballage. Dans un rayon de 50 m et dans les périmètres définis des différents marchés de Noël qui se tiennent dans le département. Transports en commun. Rassemblements (dont manifestations déclarées, festivals, spectacles de rue, stades…). À l’occasion de tout rassemblement ou regroupement de personnes statiques ou en déambulation dans l’espace et sur la voie publique, et en particulier dans les files ou zones d’attente diverses. À lire aussi Covid-19 : le port du masque est prolongé à Strasbourg et dans le Bas-Rhin, voici où Les zones où le masque n’est obligatoire qu’en cas d’affluence Dans toutes les communes du département, le port du masque n’est obligatoire qu’en cas d’affluence uniquement, dans les lieux et abords des lieux suivants : Centres-villes, zones piétonnes. Gares, écoles, équipements sportifs, lieux de culte, centres commerciaux dans un rayon de 50 m.  Comme le rappelle la préfecture dans un communiqué, le taux d’incidence dans le Bas-Rhin « est passé de 40 à environ 120 nouveaux cas pour 100 000 habitants en à peine trois semaines ».  À lire aussi Bas-Rhin. Vers une 5e vague de Covid-19 ? Pourquoi tout se joue maintenant Le masque obligatoire dans les écoles, les ERP et bientôt sur le marché de Noël Depuis lundi 8 novembre, le port du masque est de nouveau obligatoire dans les Etablissements recevant du public (ERP), type cinémas, restaurants ou bars.  C’est à cette même date que le port du masque est également redevenu obligatoire dans les écoles d’Alsace. Pour rappel, le port du masque sera aussi obligatoire sur tout le périmètre du marché de Noël et le pass sanitaire pourrait être exigé pour consommer sur place, si le taux d’incidence venait à dépasser les 200.  
6;Covid-19. Combien de personnes ne sont pas encore vaccinées dans le Nord - Pas-de-Calais ?;16/11/2021;https://actu.fr/societe/coronavirus/covid-19-combien-de-personnes-ne-sont-pas-encore-vaccinees-dans-le-nord-pas-de-calais_46439095.html;Rédaction Lille;societe;Alors que l'Autriche a décidé d'un confinement pour les non-vaccinés, on fait le point sur la part de la population vaccinée contre le Covid dans le Nord et le Pas-de-Calais.;Actu Hauts-de-France Nord Covid-19. Combien de personnes ne sont pas encore vaccinées dans le Nord - Pas-de-Calais ? Alors que l'Autriche a décidé d'un confinement pour les non-vaccinés, on fait le point sur la part de la population vaccinée contre le Covid dans le Nord et le Pas-de-Calais. Alors que l’épidémie connaît un regain, combien de personnes sont vaccinées dans le Nord – Pas-de-Calais ?    Lille Actu Mon actu Suivre L’Europe fait face à un retour en force du Covid-19 en cet automne 2021. La Belgique envisage de renforcer ses mesures sanitaires et l’Autriche a été jusqu’à décider d’un confinement pour les non-vaccinés. Cette hypothèse n’est pour l’heure pas à l’ordre du jour en France, mais le porte-parole Gabriel Attal a indiqué que le gouvernement n’excluait, par principe, aucune piste.  Combien de personnes seraient concernées dans le Nord – Pas-de-Calais si une telle mesure devait être prise ? On fait le point sur le nombre de personnes vaccinées dans la région*. À lire aussi Covid-19. Jauges dans les salles et restrictions à la frontière belge : ce qui change, dans le Nord Une très bonne couverture vaccinale dans le Nord – Pas-de-Calais Les deux départements situés dans les Hauts-de-France ont une couverture vaccinale très importante. Selon les dernières données publiées, au 11 novembre 2021, 88,2% des personnes de 12 ans et plus étaient complètement vaccinées dans le Nord, soit près de 2 millions de personnes. Dans le Pas-de-Calais, ce taux s’élève à 90% ! Ce sont ainsi 1,1 millions de personnes qui ont reçu le vaccin. Le Nord – Pas-de-Calais se situe donc au-delà de la moyenne nationale à 87,1% de la population de 12 ans et plus totalement vaccinée. Un confinement des personnes non-vaccinées serait-il donc utile pour endiguer une nouvelle vague épidémique ? C’est aux spécialistes de le déterminer. Qui a reçu sa dose de rappel ? Pour l’heure, l’accent est mis sur la campagne de rappel de vaccin, car les études révèlent qu’après six mois, l’immunité induite par le vaccin diminue. Elle s’adresse pour l’heure en priorité aux patients les plus vulnérables. Pour accélérer le mouvement, le président Emmanuel Macron a annoncé que le pass sanitaire des plus de 65 ans qui n’auront pas reçu de rappel sera désactivé dès le 15 décembre. La campagne de rappel doit aussi s’étendre dès décembre aux personnes de 50 à 64 ans.   À lire aussi Troisième dose : qui est concerné ? Quand se faire vacciner ? Les réponses à vos questions Depuis septembre, dans le Nord, 158 000 personnes, soit 7,2% de la population, a reçu cette dose de rappel. Dans le Pas-de-Calais, cela concerne 98 000 personnes, soit environ 7,9% de la population. Dans le Nord et le Pas-de-Calais, la circulation du coronavirus continue de s’intensifier. L’incidence est ainsi de 122 cas pour 100 000 habitants dans le Nord, au 11 novembre (88/100 000 la semaine précédente) et de 74 dans le Pas-de-Calais (contre 49 une semaine auparavant). Face à cette situation, le porte-parole du gouvernement Gabriel Attal a indiqué ce matin sur France Inter, qu’il n’y a « absolument aucun confinement qui est prévu pour l’instant, ni de près, ni de loin » tout en précisant qu’après près de deux ans de crise sanitaire « il ne faut jamais rien exclure par principe ». *Ces données sont disponibles publiquement sur le site Géodes. 
7;Covid-19 : un dépistage massif organisé à Durtal ce mardi 16 novembre;15/11/2021;https://actu.fr/pays-de-la-loire/durtal_49127/covid-19-un-depistage-massif-organise-a-durtal-ce-mardi-16-novembre_46462501.html;Maxime Davoust;societe;Mardi 16 novembre 2021, la préfecture du Maine-et-Loire, avec le soutien de la mairie, organise un dépistage massif du Covid-19, à Durtal.;Actu Pays de la Loire Maine-et-Loire Durtal Covid-19 : un dépistage massif organisé à Durtal ce mardi 16 novembre Mardi 16 novembre 2021, la préfecture du Maine-et-Loire, avec le soutien de la mairie, organise un dépistage massif du Covid-19, à Durtal. Le dépistage aura lieu au gymnase de Durtal (Maine-et-Loire) (Photo d’archives ©Les Nouvelles de Sablé)   Les Nouvelles de Sablé Mon actu Suivre En Pays de la Loire, l’épidémie de Covid-19 connait un rebond, particulièrement dans le Maine-et-Loire : le département affiche le taux d’incidence le plus élevé de la région, atteignant 142,3 (cas pour 100 000 habitants sur 7 jours), le mardi 9 novembre 2021, selon l’Agence régionale de santé. Gratuit et sans rendez-vous Ce mardi 16 novembre, la préfecture, avec le soutien de la mairie, organise un dépistage massif du Covid-19, à Durtal. Les tests, gratuits, sans rendez-vous et sans prescription médicale, se dérouleront au gymnase Camille Claudel (3 rue Camille Claudel), de 13 h 30 à 17 h 30. À lire aussi Insolite : Construite entièrement en fers à cheval, cette Tour Eiffel est à vendre Les volontaires devront se munir d’une pièce d’identité, de leur carte vitale, d’un masque et d’un stylo.  . 
8;Covid-19 : le taux d’incidence continue de grimper dans la Manche;15/11/2021;https://actu.fr/societe/coronavirus/covid-19-le-taux-d-incidence-continue-de-grimper-dans-la-manche-2_46462084.html;Solène Lavenu;societe;En une semaine, l’épidémie de Covid-19 a pris de l’ampleur partout en France, et la Manche ne fait pas exception même si son taux reste moins élevé qu'au niveau national.;Actu Normandie Manche Covid-19 : le taux d’incidence continue de grimper dans la Manche En une semaine, l’épidémie de Covid-19 a pris de l’ampleur partout en France, et la Manche ne fait pas exception même si son taux reste moins élevé qu'au niveau national. Le taux d’incidence est en hausse en ce début de mois de novembre 2021 dans la Manche.    La Presse de la Manche Mon actu Suivre Le taux d’incidence de l’épidémie de Covid-19 est repassé au-dessus de 100 cas pour 100 000 habitants en France. Ce lundi 15 novembre, 3 241 nouveaux cas ont été recensés quand ils n’étaient « que » 2 197, le 8 novembre. À lire aussi Covid-19, Manche : le retour du masque à l’école dès lundi pour les enfants Sur l’ensemble du territoire, seuls trois départements restent sous le seuil d’alerte des 50 cas pour 100 000 habitants : les Vosges, l’Aube et la Mayenne. Ce niveau n’avait pas été observé depuis septembre. +39 % dans la Manche Dans la Manche, le taux d’incidence grimpe aussi en flèche. Il est passé à 55,8 cas pour 100 000 habitants au 12 novembre, soit une évolution de +39 % par rapport à sept jours avant. Notre département reste cependant le plus bas taux d’incidence de la région. Il est suivi de la Seine-Maritime à 57,3 cas, le Calvados avec 59,7 cas, l’Eure à 60,4 cas et l’Orne qui dépasse 83 cas pour 100 000 habitants. Une personne hospitalisée quotidiennement Dans les hôpitaux manchois, en moyenne, 1 personne se fait hospitaliser quotidiennement pour se faire soigner du Covid. Elles sont en moyenne 24 au niveau de la région. Actuellement, ce sont alors 369 personnes qui sont hospitalisées en Normandie. 42 sont en soins critiques. À lire aussi Le centre de vaccination de Valognes va fermer pour déménager Depuis le 1er mars 2020, en Normandie, 3 579 personnes sont décédées avec diagnostic Covid-19, dont 2 931 avaient plus de 69 ans. 
9;Forte hausse de cas Covid-19 dans la Loire : voici où le port du masque obligatoire est de retour;15/11/2021;https://actu.fr/societe/coronavirus/forte-hausse-de-cas-covid-19-dans-la-loire-voici-ou-le-port-du-masque-obligatoire-est-de-retour_46462049.html;Nicolas Drusian;societe;Alors que le taux d'incidence de la Loire est en forte hausse, la préfecture a annoncé plusieurs mesures ce lundi 15 novembre 2021.;"Actu Auvergne-Rhône-Alpes Loire Forte hausse de cas Covid-19 dans la Loire : voici où le port du masque obligatoire est de retour Alors que le taux d'incidence de la Loire est en forte hausse, la préfecture a annoncé plusieurs mesures ce lundi 15 novembre 2021. Le port du masque est de nouveau obligatoire dans plusieurs événements sur la voie publique dans la Loire, annonce la préfecture lundi 15 novembre 2021.    Actu Saint-Étienne Mon actu Suivre La France connaît depuis plusieurs jours une forte hausse de nouveaux cas Covid-19. Ce lundi 15 novembre 2021, alors que le taux d’incidence du département de la Loire a dépassé les 100 cas pour 100.000 habitants, la préfecture annonce de nouvelles mesures sanitaires. Les arrêtés chargés d’alléger le port du masque ont tout d’abord été abrogés. De plus, il redevient obligatoire pour toute personne de plus de onze ans dans ces conditions : dans les marchés en plein air dont le marché de Noël, les brocantes et vide-greniers ; lors des rassemblements organisés sur la voie publique ; dans les zones d’attente de transports collectifs (abribus, arrêts de tramway, gare routière…) ainsi que les files d’attente en extérieur ; sur la voie publique aux entrées et sorties des centres commerciaux, des établissements d’enseignement, les lieux d’accueil des mineurs et des lieux de culte. À noter que dans les établissements recevant du public en extérieur, et soumis à un pass sanitaire, le port du masque n’est pas obligatoire mais fortement recommandé. À lire aussi VIDEO. Un traîneau en bois géant de 3 mètres prépare son arrivée à Saint-Étienne Le seuil d’alerte largement franchi D’après les données de Santé publique France, le taux d’incidence de la Loire était de 105 cas pour 100.000 habitants entre le 6 et 12 novembre 2021, alors que le seuil d’alerte est fixé à 50.  Après une très forte baisse de la circulation du virus à la fin de l’été, la situation est restée stable pendant plusieurs semaines avec une hausse soudaine ces derniers jours, dans la Loire et dans le reste du pays. En Auvergne-Rhône-Alpes, plusieurs départements affichent aujourd’hui un taux d’incidence supérieur à 100. La situation échappe tout particulièrement à l’Ardèche, avec un taux de 183, le deuxième plus élevé de France métropolitaine derrière la Haute-Corse (205). "
